filename,CC_score,KLD_score
0,0.7062069318127551,0.8596149
1,0.8145403752839594,1.5588001
2,0.4789643311547732,1.5319552
3,0.6549470155075231,1.1345866
4,0.9101726433642077,1.2770654
5,0.5326774306242795,1.7898227
6,0.8259158845633027,0.7692605
7,0.4788818474406088,2.0883849
8,0.6122222400860028,1.5645155
9,0.8000000052483279,2.1407673
10,0.7184523511687018,2.3762965
11,0.9436474862327758,0.88119626
12,0.5617769941984004,1.8919365
13,0.8030016295104936,2.0672941
14,0.41207750699807,1.3953242
15,0.957133969745967,1.4008172
16,0.7769763508447629,1.2832944
17,0.7154758955985437,1.4440848
18,0.5998472245821797,1.6543262
19,0.8466568111074891,1.3718448
20,0.6049429611008639,1.99538
21,0.7367948205733194,1.0532831
22,0.8751190491335719,1.0367547
23,0.7128600260659177,0.89527607
24,0.5828777314933145,1.7534397
25,0.9267674222169322,1.0963076
26,0.7868499374489173,1.0301021
27,0.8081556379599112,0.36329705
28,0.7074876056942727,1.0893986
29,0.7771389527247062,1.7837638
30,0.7425851450591886,1.9529781
31,0.701544339943688,1.6110852
32,0.8625975410229021,0.9153251
33,0.7786629189158759,1.8135904
34,0.8972710410982937,1.3255684
35,0.8465745672253031,1.6047252
36,0.8574495250708609,0.99126655
37,0.6316706017414823,0.92223763
38,0.8619175411013974,0.8865332
39,0.7600924957882061,0.8855758
40,0.45775563672268693,4.3015113
41,0.8751827528702782,1.2556027
42,0.8395488425299346,0.7660431
43,0.6587166944017492,2.0661964
44,0.7841555255678827,1.828788
45,0.6416980465929033,1.4419096
46,0.8005222868274878,1.0404472
47,0.8140818344642771,0.87054336
48,0.5882361303953128,2.322126
49,0.8430474092830258,1.8249665
50,0.845657319492011,1.0442202
51,0.6188890082613479,1.1486489
52,0.4570384089405127,1.9007311
53,0.8026274961990458,0.94338024
54,0.659576125061498,1.1611582
55,0.8601831371627262,1.7979407
56,0.7685668832900925,0.8906236
57,0.8206073735243185,0.89594966
58,0.6972560517798522,0.7492162
59,0.6491475463251409,1.9498826
60,0.5246590686786546,1.5490856
61,0.7628367100896862,0.775662
62,0.6271437534579728,4.0665345
63,0.7950451742684606,1.3636842
64,0.7202662576373221,1.02097
65,0.6819257496813174,1.6794863
66,0.9555643375115345,1.2634715
67,0.7642355123777353,1.2053683
68,0.8614532868124815,0.8988427
69,0.8696913072148539,0.4942014
70,0.7697567546636743,1.6136508
71,0.682105645518369,1.4037106
72,0.7888901047268982,1.2604046
73,0.6761294177233038,3.2521
74,0.7577243543090747,1.202686
75,0.9090208967886904,0.7942485
76,0.8669235338501878,0.9332993
77,0.8478881552211317,0.44812363
78,0.8728593213214008,1.530997
79,0.6758330496265911,1.5134397
80,0.7506486641239711,1.01717
81,0.8792213436915545,0.8392819
82,0.6386809063360039,1.2103477
83,0.641210329776428,1.6257374
84,0.8594242425232528,2.3673441
85,0.7622935724125922,2.4377978
86,0.8386794706062385,1.4800562
87,0.7217991878409632,2.8636897
88,0.8138191705931094,1.5263013
89,0.7718026063837229,0.8863525
90,0.7701277929180382,1.1178749
91,0.9264870846558885,1.6080133
92,0.6782595249925386,1.4217144
93,0.7524247594748421,1.492591
94,0.5876498060557404,1.5078168
95,0.6371847958536894,1.0553329
96,0.798658208575695,1.4669267
97,0.6648301550375709,2.3691676
98,0.652561553276348,0.69259
99,0.8283018489992138,0.9838464
100,0.938125784520743,0.7432199
101,0.6080826512780939,2.5864677
102,0.7639466499402576,1.144817
103,0.20408585215494351,1.90587
104,0.5689654274518919,2.1801684
105,0.37086224033436954,2.3187165
106,0.6390481247572429,1.3691424
107,0.8136434497460582,0.9299407
108,0.5182788925362399,2.1856625
109,0.739973495744603,1.0284333
110,0.6902949671591978,1.0260478
111,0.7424876238348938,0.82340133
112,0.8712480462334228,1.0914346
113,0.8516107125363613,0.59648937
114,0.8553265964708314,0.6850814
115,0.685507199234022,1.8781126
